Descricao,Valor
COMPONENTE FEMORAL MODULAR DE REVISAO CIMENTADA P/ ENXERTO IMPACTADO,"2.601,84"
COMPONENTE FEMORAL MODULAR DE REVISAO NAO CIMENTADA P/ REVESTIMENTO TOTAL,"2.355,52"
COMPONENTE FEMORAL NAO CIMENTADO MODULAR PRIMARIO,"1.695,27"
COMPONENTE FEMORAL PRIMARIO CIMENTADO / FIXACAO BIOLOGICA,"1.671,60"
COMPONENTE GLENOIDAL,"198,17"
COMPONENTE PATELAR CIMENTADO / FIXACAO BIOLOGICA,"148,57"
COMPONENTE TIBIAL DE REVISAO DE POLIETILENO,"528,50"
COMPONENTE TIBIAL DE REVISAO METALICO CIMENTADO / FIXACAO BIOLOGICA EM CUNHA,"1.316,68"
COMPONENTE TIBIAL PRIMARIO DE POLIETILENO,"352,96"
COMPONENTE TIBIAL PRIMARIO METALICO CIMENTADO / FIXACAO BIOLOGICA,"854,48"
COMPONENTE UMERAL CIMENTADO / FIXACAO BIOLOGICA,"793,25"
COMPONENTE UMERAL CIMENTADO / FIXACAO BIOLOGICA DE REVISAO,"900,59"
CONCENTRADO DE COMPLEXO PROTROMBINICO 500UI,"147,89"
CONCENTRADO DE COMPLEXO PROTROMBINICO ATIVADO 250 UI,"169,91"
CONCENTRADO DE FATOR IX DERIVADO DE PLASMA HUMANO 500 UI,"118,88"
CONCENTRADO FATOR VIII - FRASCO DE 250 UI,"59,45"
CONCLUSAO DA ASSISTENCIA PRE-NATAL (INCENTIVO),"0,00"
CONCLUSAO DE PROCESSO ADMINISTRATIVO SANITARIO,"0,00"
CONECTOR BARRA JUNCAO CERVICO TORACICA,"70,00"
CONECTOR EM Y / RETO,"78,43"
CONFECCAO DE FISTULA ARTERIO-VENOSA C/ ENXERTIA DE POLITETRAFLUORETILENO (PTFE),"1.453,85"
CONFECCAO DE FISTULA ARTERIO-VENOSA C/ ENXERTO AUTOLOGO,"685,53"
CONFECCAO DE FISTULA ARTERIOVENOSA P/ ACESSO,"0,00"
CONFECCAO DE FISTULA ARTERIO-VENOSA P/ HEMODIALISE,"600,00"
CONFIRMACAO DE TIPIFICACAO DE DOADOR DE MEDULA OSSEA OU DE OUTROS PRECURSORES HEMATOPOETICO,"1.300,00"
CONFIRMACAO DE TIPIFICACAO DE RECEPTOR DE MEDULA OSSEA OU DE OUTROS PRECURSORES HEMATOPOETIC,"1.300,00"
CONJ.TROCA P/DPA (PACIENTE-MES C/ INSTALACAO DOMICILIAR E MANUTENCAO DA MAQUINA CICLADORA),"2.511,49"
CONJUNTO DE ACESSO HEPATICO TRANSJUGULAR,"4.300,00"
CONJUNTO DE CATETER DE DRENAGEM EXTERNA E/OU MPIC,"525,02"
CONJUNTO DE ELETRODO E EXTENSAO P/ ESTIMULACAO CEREBRAL,"4.600,00"
CONJUNTO DE PLACA E BOLSA PARA OSTOMA INTESTINAL,"18,00"
CONJUNTO DE PLACA E BOLSA PARA UROSTOMIZADOS,"20,00"
CONJUNTO DE TROCA P/ TREINAMENTO DE PACIENTE SUBMETIDO A DPA / DPAC (9 DIAS)CORRESPONDENTE A 36 U,"N 609,39"
CONJUNTO DE TROCA PARA PACIENTE SUBMETIDO A DPA (PACIENTE-15 DIAS COM INSTALACAO DOMICILIAR E MAN,"U1.255,74"
CONJUNTO DE TROCA PARA PACIENTE SUBMETIDO A DPAC (PACIENTE-MES) CORRESPONDENTE A 120 UNIDADES,"1.893,68"
CONJUNTO DESCARTAVEL DE BALAO INTRA-AORTICO,"1.823,94"
CONJUNTO DO SEIO CORONARIO,"5.382,32"
CONJUNTO P/ CIRCULACAO EXTRACORPOREA (ADULTO),"1.581,63"
CONJUNTO P/ CIRCULACAO EXTRACORPOREA (NEONATAL),"1.881,63"
CONJUNTO P/ CIRCULACAO EXTRACORPOREA (PEDIATRICO),"1.731,63"
CONJUNTO P/ HIDROCEFALIA DE BAIXO PERFIL,"845,80"
CONJUNTO P/ VALVOPLASTIA MITRAL PERCUTANEA,"4.550,00"
CONJUNTO PADRAO P/ HIDROCEFALIA,"613,65"
CONJUNTO PARA AUTOTRANSFUSAO,"114,46"
CONJUNTOS DE TROCA PARA PACIENTE SUBMETIDO A DPAC (PACIENTE 15 DIAS),"946,84"
CONSERTO DA ANTENA DA PROTESE DE IMPLANTE COCLEAR,"0,00"
CONSERTO DO COMPARTIMENTO/GAVETA DE BATERIAS DA PROTESE DE IMPLANTE COCLEAR,"0,00"
CONSERTO DO CONTROLE REMOTO DA PROTESE DE IMPLANTE COCLEAR,"0,00"
CONSERTO DO PROCESSADOR DE FALA DA PROTESE DE IMPLANTE COCLEAR,"0,00"
CONSTRUCAO DE VAGINA,"398,05"
CONSULTA AO PACIENTE CURADO DE TUBERCULOSE (TRATAMENTO SUPERVISIONADO),"0,00"
CONSULTA COM IDENTIFICACAO DE CASOS NOVOS DE TUBERCULOSE,"0,00"
CONSULTA DE PROFISSIONAIS DE NIVEL SUPERIOR NA ATENCAO ESPECIALIZADA (EXCETO MEDICO),"6,30"
CONSULTA DE PROFISSIONAIS DE NIVEL SUPERIOR NA ATENCAO PRIMARIA (EXCETO MEDICO),"0,00"
CONSULTA MEDICA EM ATENCAO ESPECIALIZADA,"10,00"
CONSULTA MEDICA EM ATENCAO PRIMARIA,"0,00"
CONSULTA MEDICA EM SAUDE DO TRABALHADOR,"10,00"
CONSULTA PARA AVALIACAO CLINICA DO FUMANTE,"0,00"
"CONSULTA PARA DIAGNOSTICO/REAVALIACAO DE GLAUCOMA (TONOMETRIA, FUNDOSCOPIA E CAMPIMETRIA)","57,74"
CONSULTA PRE-NATAL,"0,00"
CONSULTA PRE-NATAL DO PARCEIRO,"0,00"
CONSULTA PUERPERAL,"0,00"
CONSULTA/ATENDIMENTO DOMICILIAR,"0,00"
CONSULTA/ATENDIMENTO DOMICILIAR NA ATENCAO ESPECIALIZADA,"3,14"
CONSULTA/AVALIACAO EM PACIENTE INTERNADO,"0,00"
CONTAGEM DE ADDIS,"2,04"
CONTAGEM DE CD4/CD3 EM PACIENTE TRANSPLANTADO,"75,00"
CONTAGEM DE CELULAS ENDOTELIAIS DA CORNEA,"64,80"
CONTAGEM DE LINFOCITOS B,"15,00"
CONTAGEM DE LINFOCITOS CD4/CD8,"15,00"
CONTAGEM DE LINFOCITOS T TOTAIS,"15,00"
CONTAGEM DE PLAQUETAS,"2,73"
CONTAGEM DE RETICULOCITOS,"2,73"
CONTAGEM ESPECIFICA DE CELULAS NO LIQUOR,"1,89"
CONTAGEM GLOBAL DE CELULAS NO LIQUOR,"1,89"
CONTENCAO DE DENTES POR SPLINTAGEM,"24,12"
CONTROLE DE QUALIDADE DO EXAME CITOPATOLOGICO CERVICO VAGINAL,"8,96"
COORDENACAO DE SALA CIRURGICA P/ RETIRADA DE ORGAOS E TECIDOS P/ TRANSPLANTE,"400,00"
CORDOTOMIA / MIELOTOMIA POR RADIOFREQUENCIA,"1.988,31"
COROA DE ACO E POLICARBOXILATO,"23,54"
COROA PROVISORIA,"23,54"
CORRECAO CIRURGICA DE ENTROPIO E ECTROPIO,"203,74"
CORRECAO CIRURGICA DE EPICANTO E TELECANTO,"278,90"
CORRECAO CIRURGICA DE ESTRABISMO (ACIMA DE 2 MUSCULOS),"1.160,45"
CORRECAO CIRURGICA DE FISTULA ORO-NASAL / ORO-SINUSAL,"45,68"
CORRECAO CIRURGICA DE FISTULA SALIVAR COM RETALHO,"172,63"
CORRECAO CIRURGICA DE HERNIA DE IRIS,"259,20"
CORRECAO CIRURGICA DE LAGOFTALMO,"282,08"
CORRECAO CIRURGICA DO ESTRABISMO (ATE 2 MUSCULOS),"815,42"
CORRECAO DE ANEURISMA / DISSECCAO DA AORTA TORACO-ABDOMINAL,"7.181,42"
CORRECAO DE ASTIGMATISMO SECUNDARIO,"19,14"
CORRECAO DE ATRESIA PULMONAR E COMUNICACAO INTERVENTRICULAR,"22.267,92"
CORRECAO DE ATRIO UNICO,"14.685,43"
CORRECAO DE BANDA ANOMALA DO VENTRICULO DIREITO,"10.948,62"
CORRECAO DE BRIDAS MUSCULARES,"12,98"
CORRECAO DE COARCTACAO DA AORTA,"5.629,58"
CORRECAO DE COARCTACAO DA AORTA (CRIANCA E ADOLESCENTE),"10.374,38"
CORRECAO DE COARCTACAO DA AORTA COM CEC,"3.909,37"
CORRECAO DE COARCTACAO DA AORTA COM CEC (CRIANCA E ADOLESCENTE),"8.804,15"
CORRECAO DE COMUNICACAO INTERVENTRICULAR,"13.585,75"
CORRECAO DE COMUNICACAO INTER-VENTRICULAR E INSUFICIENCIA AORTICA,"9.874,10"
CORRECAO DE COR TRIATRIATUM,"16.557,69"
CORRECAO DE CORONARIA ANOMALA (19 A 110),"6.400,92"
CORRECAO DE CORONARIA ANOMALA (CRIANCA E ADOLESCENTE),"22.267,92"
CORRECAO DE DRENAGEM ANOMALA DO RETORNO SISTEMICO,"9.874,10"
CORRECAO DE DRENAGEM ANOMALA DO RETORNO SISTEMICO (CRIANCA E ADOLESCENTE),"16.557,69"
CORRECAO DE DRENAGEM ANOMALA PARCIAL DE VEIAS PULMONARES,"9.874,10"
CORRECAO DE DRENAGEM ANOMALA PARCIAL DE VEIAS PULMONARES (CRIANCA E ADOLESCENTE),"12.674,72"
CORRECAO DE DRENAGEM ANOMALA TOTAL DE VEIAS PULMONARES,"24.318,83"
CORRECAO DE DUPLA VIA DE SAIDA DO VENTRICULO DIREITO,"24.318,83"
CORRECAO DE DUPLA VIA DE SAIDA DO VENTRICULO ESQUERDO,"24.318,83"
CORRECAO DE EPISPADIA,"388,21"
CORRECAO DE ESTENOSE AORTICA (0 A 3 ANOS),"20.435,86"
CORRECAO DE ESTENOSE MITRAL CONGENITA,"12.357,51"
CORRECAO DE ESTENOSE MITRAL CONGENITA (CRIANCA E ADOLESCENTE),"19.664,32"
CORRECAO DE ESTENOSE SUPRA-AORTICA,"7.445,17"
CORRECAO DE ESTENOSE SUPRA-AORTICA (CRIANCA E ADOLESCENTE),"10.948,62"
CORRECAO DE FISTULA AORTO-CAVITARIAS,"9.874,10"
CORRECAO DE FISTULA AORTO-CAVITARIAS (CRIANCA E ADOLESCENTE),"14.685,43"
CORRECAO DE HIPERTROFIA SEPTAL ASSIMETRICA,"10.909,40"
CORRECAO DE HIPERTROFIA SEPTAL ASSIMETRICA (CRIANCA E ADOLESCENTE),"18.150,46"
CORRECAO DE HIPOPLASIA DE VENTRICULO ESQUERDO,"24.318,66"
CORRECAO DE HIPOSPADIA (1O TEMPO),"372,96"
CORRECAO DE HIPOSPADIA (2O TEMPO),"372,96"
CORRECAO DE INSUFICIENCIA DA VALVULA TRICUSPIDE,"10.909,40"
CORRECAO DE INSUFICIENCIA DA VALVULA TRICUSPIDE (CRIANCA E ADOLESCENTE),"18.150,46"
CORRECAO DE INSUFICIENCIA MITRAL CONGENITA,"9.874,00"
CORRECAO DE INSUFICIENCIA MITRAL CONGENITA (CRIANCA E ADOLESCENTE),"16.557,54"
CORRECAO DE INTERRUPCAO DO ARCO AORTICO,"24.318,83"
CORRECAO DE IRREGULARIDADES DE REBORDO ALVEOLAR,"21,92"
CORRECAO DE JANELA AORTO-PULMONAR,"10.909,40"
CORRECAO DE JANELA AORTO-PULMONAR (CRIANCA E ADOLESCENTE),"22.446,57"
CORRECAO DE LESOES NA TRANSPOSICAO CORRIGIDA DOS VASOS DA BASE,"18.150,46"
CORRECAO DE PERSISTENCIA DO CANAL ARTERIAL,"3.544,78"
CORRECAO DE PERSISTENCIA DO CANAL ARTERIAL (CRIANCA E ADOLESCENTE),"5.274,62"
CORRECAO DE PERSISTENCIA DO CANAL ARTERIAL NO RECEM-NASCIDO,"3.544,78"
CORRECAO DE RETRACAO CICATRICIAL VARIOS ESTAGIOS,"503,12"
CORRECAO DE TETRALOGIA DE FALLOT E VARIANTES,"12.357,51"
CORRECAO DE TETRALOGIA DE FALLOT E VARIANTES (CRIANCA E ADOLESCENTE),"22.446,57"
CORRECAO DE TRANSPOSICAO DE GRANDES VASOS DA BASE,"11.865,22"
CORRECAO DE TRANSPOSICAO DOS GRANDES VASOS DA BASE (CRIANCA E ADOLESCENTE),"24.318,83"
CORRECAO DE TRONCO ARTERIOSO PERSISTENTE,"24.318,83"
CORRECAO DE TUBEROSIDADE DO MAXILAR,"12,98"
CORRECAO DE VENTRICULO UNICO,"24.318,83"
CORRECAO DO CANAL ATRIO-VENTRICULAR (PARCIAL / INTERMEDIARIO),"9.874,10"
CORRECAO DO CANAL ATRIO-VENTRICULAR (TOTAL),"24.318,83"
CORRECAO DO CANAL ATRIO-VENTRICULAR PARCIAL / INTERMEDIARIO (CRIANCA E ADOLESCENTE),"14.685,43"
CORRECAO ENDOVASCULAR DE ANEURISMA / DISSECCAO DA AORTA ABDOMINAL COM ENDOPROTESE RETA / CON,"I 1.614,75"
CORRECAO ENDOVASCULAR DE ANEURISMA / DISSECCAO DA AORTA ABDOMINAL E ILIACAS COM ENDOPROTESE BI,"1.614,76"
CORRECAO ENDOVASCULAR DE ANEURISMA / DISSECCAO DA AORTA TORACICA COM ENDOPROTESE RETA OU CO,"N 1.614,75"
CORRECAO ENDOVASCULAR DE ANEURISMA / DISSECCAO DAS ILIACAS COM ENDOPROTESE TUBULAR,"1.614,75"
CORRECOES DE ANOMALIAS DO ARCO AORTICO,"8.019,47"
CORRECOES DE ANOMALIAS DO ARCO AORTICO (CRIANCA E ADOLESCENTE),"12.990,42"
COSTECTOMIA,"490,42"
COSTOPLASTIA (3 OU MAIS COSTELAS),"492,59"
COSTO-TRANSVERSECTOMIA,"1.171,83"
CRANIECTOMIA POR TUMOR OSSEO,"1.500,72"
CRANIOPLASTIA,"1.322,12"
CRANIOTOMIA DESCOMPRESSIVA,"807,75"
CRANIOTOMIA DESCOMPRESSIVA DA FOSSA POSTERIOR,"1.191,50"
CRANIOTOMIA PARA BIOPSIA ENCEFALICA,"1.847,07"
CRANIOTOMIA PARA BIOPSIA ENCEFALICA (COM TECNICA COMPLEMENTAR),"1.980,66"
CRANIOTOMIA PARA RETIRADA DE CISTO / ABSCESSO / GRANULOMA ENCEFALICO,"2.018,51"
CRANIOTOMIA PARA RETIRADA DE CISTO / ABSCESSO / GRANULOMA ENCEFALICO (C/ TECNICA COMPLEMENTAR),"2.144,87"
CRANIOTOMIA PARA RETIRADA DE CORPO ESTRANHO INTRACRANIANO,"1.500,72"
CRANIOTOMIA PARA RETIRADA DE CORPO ESTRANHO INTRACRANIANO (COM TECNICA COMPLEMENTAR),"1.980,66"
CRANIOTOMIA PARA RETIRADA DE TUMOR CEREBRAL INCLUSIVO DA FOSSA POSTERIOR,"3.321,14"
CRANIOTOMIA PARA RETIRADA DE TUMOR INTRACRANIANO,"1.900,97"
CRIOCAUTERIZACAO / ELETROCOAGULACAO DE COLO DE UTERO,"11,26"
CRIOTERAPIA DE TUMORES INTRA-OCULARES,"619,17"
CRIOTERAPIA OCULAR,"116,00"
CRIPTECTOMIA UNICA / MULTIPLA,"125,47"
CUIDADOS C/ TRAQUEOSTOMIA,"0,00"
CUIDADOS COM ESTOMAS,"0,00"
CULTURA DE BACTERIAS P/ IDENTIFICACAO,"5,62"
CULTURA DO LEITE HUMANO (POS-PASTEURIZACAO),"5,62"
CULTURA P/ HERPESVIRUS,"4,33"
CULTURA P/ IDENTIFICACAO DO VIBRIO CHOLERAE EM ANALISE DE AGUA,"0,00"
CULTURA P/ IDENTIFICACAO DO VIBRIO CHOLERAE EM ANALISE DE ALIMENTOS,"0,00"
CULTURA PARA BAAR,"5,63"
CULTURA PARA BACTERIAS ANAEROBICAS,"10,25"
CULTURA PARA IDENTIFICACAO DE FUNGOS,"4,19"
CURATIVO DE DEMORA C/ OU S/ PREPARO BIOMECANICO,"0,00"
CURATIVO EM GRANDE QUEIMADO,"43,75"
CURATIVO EM MEDIO QUEIMADO,"31,25"
CURATIVO EM PEQUENO QUEIMADO,"18,75"
CURATIVO ESPECIAL,"0,00"
CURATIVO GRAU II C/ OU S/ DEBRIDAMENTO,"32,40"
CURATIVO SIMPLES,"0,00"
CURETAGEM PERIAPICAL,"21,92"
CURETAGEM POS-ABORTAMENTO / PUERPERAL,"19,79"
CURETAGEM SEMIOTICA C/ OU S/ DILATACAO DO COLO DO UTERO,"22,62"
CURETAGEM UTERINA EM MOLA HIDATIFORME,"137,38"
CURVA DIARIA DE PRESSAO OCULAR CDPO (MINIMO 3 MEDIDAS),"10,11"
DACLATASVIR 30 MG (POR COMPRIMIDO REVESTIDO),"0,00"
DACLATASVIR 60 MG (POR COMPRIMIDO REVESTIDO),"0,00"
DACLIZUMABE 5 MG/ ML INJETAVEL P/ TRANSPLANTE (POR FRASCO DE 5 ML),"697,00"
DACRIOCISTOGRAFIA,"48,85"
DACRIOCISTORRINOSTOMIA,"681,87"
DANAZOL 100 MG (POR CAPSULA),"1,50"
DANAZOL 200 MG (POR CAPSULA),"3,62"
DEBRIDAMENTO DE FASCEITE NECROTIZANTE,"521,77"
DEBRIDAMENTO DE ULCERA / DE TECIDOS DESVITALIZADOS,"543,08"
DEBRIDAMENTO DE ULCERA / NECROSE,"29,86"
DEFERASIROX 125 MG (POR COMPRIMIDO),"0,00"
DEFERASIROX 250 MG (POR COMPRIMIDO),"0,00"
DEFERASIROX 500 MG (POR COMPRIMIDO),"0,00"
DEFERIPRONA 500 MG (POR COMPRIMIDO),"8,06"
DEGASTROGASTRECTOMIA C/ OU S/ VAGOTOMIA,"787,03"
DELEUCOCITACAO DE CONCENTRADO DE HEMACIAS,"45,00"
DELEUCOCITACAO DE CONCENTRADO DE PLAQUETAS,"70,00"
DEMONSTRACAO DE SEQUESTRO DE HEMACIAS PELO BACO (C/ RADIOISOTOPOS),"97,37"
DENSITOMETRIA OSSEA DUO-ENERGETICA DE COLUNA (VERTEBRAS LOMBARES E/OU FEMUR),"55,10"
DERIVACAO RAQUE-PERITONEAL,"1.419,10"
DERIVACAO VENTRICULAR EXTERNAR-SUBGALEAL EXTERNA,"1.085,64"
DERIVACAO VENTRICULAR PARA PERITONEO / ATRIO / PLEURA / RAQUE,"1.500,72"
DERMOLIPECTOMIA (1 OU 2 MEMBROS INFERIORES),"486,92"
DERMOLIPECTOMIA ABDOMINAL CIRCUNFERENCIAL POS CIRURGIA BARIATRICA,"1.052,20"
DERMOLIPECTOMIA ABDOMINAL NAO ESTETICA (PLASTICA ABDOMINAL),"621,84"
DERMOLIPECTOMIA ABDOMINAL POS-CIRURGIA BARIATRICA,"862,35"
DERMOLIPECTOMIA BRAQUIAL POS-CIRURGIA BARIATRICA,"862,32"
DERMOLIPECTOMIA CRURAL POS-CIRURGIA BARIATRICA,"862,35"
DESARTICULACAO COXOFEMORAL,"1.635,28"
DESARTICULACAO DA ARTICULACAO ESCAPULO-UMERAL,"446,09"
DESARTICULACAO ESCAPULO-TORACICA INTERNA EM ONCOLOGIA,"4.115,05"
DESARTICULACAO INTERESCAPULO-TORACICA,"1.135,17"
DESARTICULACAO INTERESCAPULO-TORACICA EM ONCOLOGIA,"3.165,42"
DESARTICULACAO INTERILIO-ABDOMINAL,"1.994,25"
DESBASTAMENTO DE CALOSIDADE E/OU MAL PERFURANTE (DESBASTAMENTO),"1,48"
DESCOLAMENTO MANUAL DE PLACENTA,"18,85"
DESCOMPRESSAO COM ESVAZIAMENTO MEDULAR POR BROCAGEM / VIA CORTICOTOMIA,"705,02"
DESCOMPRESSAO DA JUNCAO CRANIO-CERVICAL VIA TRANSORAL / RETROFARINGEA,"1.783,10"
DESCOMPRESSAO DE NERVO OPTICO,"774,35"
DESCOMPRESSAO DE ORBITA,"650,66"
DESCOMPRESSAO DE ORBITA POR DOENCA OU TRAUMA,"2.133,07"
DESCOMPRESSAO NEUROVASCULAR DE NERVOS CRANIANOS,"2.991,07"
DESCOMPRESSAO OSSEA NA JUNCAO CRANIO-CERVICAL VIA POSTERIOR,"1.265,63"
DESCOMPRESSAO OSSEA NA JUNCAO CRANIO-CERVICAL VIA POSTERIOR C/ DUROPLASTIA,"1.444,26"
DESCORTICACAO PULMONAR,"2.155,36"
DESFERROXAMINA 500 MG INJETAVEL (POR FRASCO-AMPOLA),"18,89"
DESLOCAMENTO DE EQUIPE PROFISSIONAL P/ RETIRADA DE ORGAOS - INTERMUNICIPAL,"450,00"
DESLOCAMENTO INTERESTADUAL DE EQUIPE PROFISSIONAL P/ RETIRADA DE ORGAOS,"900,00"
"DESMOPRESSINA 0,1 MG (POR COMPRIMIDO)","0,00"
"DESMOPRESSINA 0,1 MG/ML APLICACAO NASAL (POR FRASCO DE 2,5 ML","0,00"
"DESMOPRESSINA 0,2 MG (POR COMPRIMIDO)","0,00"
DETECCAO DE ACIDOS NUCLEICOS DO HIV-1 (QUALITATIVO),"65,00"
DETECCAO DE CLAMIDIA E GONOCOCO POR BIOLOGIA MOLECULAR,"60,00"
DETECCAO DE RNA DO HTLV-1,"65,00"
DETECCAO DE RNA DO VIRUS DA HEPATITE C (QUALITATIVO),"96,00"
DETECCAO DE VARIANTES DA HEMOGLOBINA (DIAGNOSTICO TARDIO),"8,80"
DETECCAO MOLECULAR DE MUTACAO EM DEFICIENCIA DE BIOTINIDASE,"66,00"
DETECCAO MOLECULAR DE MUTACAO EM HEMOGLOBINOPATIAS (CONFIRMATORIO),"66,00"
DETECCAO MOLECULAR DE MUTACAO EM HIPERPLASIA ADRENAL CONGENITA,"66,00"
DETECCAO MOLECULAR EM FIBROSE CISTICA (CONFIRMATORIO),"66,00"
DETERMINACAO DE ANTICORPOS ANTIPLAQUETARIOS,"10,65"
DETERMINACAO DE CAPACIDADE DE FIXACAO DO FERRO,"2,01"
DETERMINACAO DE CARGA VIRAL DO HIV POR RT-PCR,"0,00"
DETERMINACAO DE CARIOTIPO EM CULTURA DE LONGA DURACAO (C/ TECNICA DE BANDAS),"180,00"
DETERMINACAO DE CARIOTIPO EM MEDULA OSSEA E VILOSIDADES CORIONICAS (C/ TECNICA DE BANDAS),"160,00"
DETERMINACAO DE CARIOTIPO EM SANGUE PERIFERICO (C/ TECNICA DE BANDAS),"160,00"
DETERMINACAO DE COMPLEMENTO (CH50),"9,25"
DETERMINACAO DE CREMATOCRITO NO LEITE HUMANO ORDENHADO,"1,53"
DETERMINACAO DE CROMATOGRAFIA DE AMINOACIDOS,"15,65"
DETERMINACAO DE CURVA DE RESISTENCIA GLOBULAR,"2,73"
DETERMINACAO DE CURVA GLICEMICA (2 DOSAGENS),"3,63"
DETERMINACAO DE CURVA GLICEMICA C/ INDUCAO POR CORTISONA ( 5 DOSAGENS),"6,55"
DETERMINACAO DE CURVA GLICEMICA C/ INDUCAO POR CORTISONA (4 DOSAGENS),"3,68"
DETERMINACAO DE CURVA GLICEMICA CLASSICA (5 DOSAGENS),"10,00"
DETERMINACAO DE ENZIMAS ERITROCITARIAS (CADA),"2,73"
DETERMINACAO DE FATOR REUMATOIDE,"2,83"
DETERMINACAO DE FILTRACAO GLOMERULAR,"63,22"
DETERMINACAO DE FLUXO PLASMATICO RENAL,"63,22"
DETERMINACAO DE FLUXO SANGUINEO REGIONAL,"123,93"
DETERMINACAO DE FOSFOLIPIDIOS RELACAO LECITINA - ESFINGOMIELINA NO LIQUIDO AMNIOTICO,"6,56"
DETERMINACAO DE INDICE DE TIROXINA LIVRE,"12,54"
DETERMINACAO DE OSMOLALIDADE,"3,70"
DETERMINACAO DE OSMOLARIDADE,"3,51"
DETERMINACAO DE PRESSAO INTRA-ABDOMINAL,"8,82"
DETERMINACAO DE PRESSAO VENOSA CENTRAL (PVC),"0,00"
DETERMINACAO DE RECEPTORES TUMORAIS HORMONAIS,"65,55"
DETERMINACAO DE RETENCAO DE T3,"12,54"
DETERMINACAO DE SOBREVIDA DE HEMACIAS (C/ RADIOSOTOPOS),"54,36"
DETERMINACAO DE SULFO-HEMOGLOBINA,"2,73"
DETERMINACAO DE T3 REVERSO,"14,69"
DETERMINACAO DE TEMPO DE COAGULACAO,"2,73"
DETERMINACAO DE TEMPO DE LISE DA EUGLOBULINA,"2,73"
DETERMINACAO DE TEMPO DE SANGRAMENTO DE IVY,"9,00"
DETERMINACAO DE TEMPO DE SANGRAMENTO -DUKE,"2,73"
DETERMINACAO DE TEMPO DE SOBREVIDA DE HEMACIAS,"5,79"
DETERMINACAO DE TEMPO DE TROMBINA,"2,85"
DETERMINACAO DE TEMPO DE TROMBOPLASTINA PARCIAL ATIVADA (TTP ATIVADA),"5,77"
DETERMINACAO DE TEMPO E ATIVIDADE DA PROTROMBINA (TAP),"2,73"
DETERMINACAO DE VELOCIDADE DE HEMOSSEDIMENTACAO (VHS),"2,73"
DETERMINACAO DIRETA E REVERSA DE GRUPO ABO,"1,37"
DETERMINACAO QUANTITATIVA DE PROTEINA C REATIVA,"9,25"
DIAFISECTOMIA DE OSSOS LONGOS,"429,35"
DIAGNOSTICO E/OU ATENDIMENTO DE URGENCIA EM CLINICA CIRURGICA,"40,38"
DIAGNOSTICO E/OU ATENDIMENTO DE URGENCIA EM CLINICA MEDICA,"44,22"
DIAGNOSTICO E/OU ATENDIMENTO DE URGENCIA EM CLINICA PEDIATRICA,"47,27"
DIALISE PERITONEAL INTERMITENTE DPI (1 SESSAO POR SEMANA -EXCEPCIONALIDADE),"121,74"
DIALISE PERITONEAL INTERMITENTE DPI (MAXIMO 2 SESSOES POR SEMANA),"121,51"
DIALISE PERITONEAL P/ PACIENTES RENAIS AGUDOS,"111,42"
DIARIA DE ACOMPANHANTE ADULTO (COM PERNOITE),"8,00"
DIARIA DE ACOMPANHANTE CRIANCA/ADOLESCENTE C/PERNOITE,"8,00"
DIARIA DE ACOMPANHANTE DE GESTANTE C/ PERNOITE,"8,00"
DIARIA DE ACOMPANHANTE DE IDOSOS C/ PERNOITE,"8,00"
DIARIA DE ACOMPANHANTE DE IDOSOS S/ PERNOITE,"4,00"
DIARIA DE LEITO DE SUPORTE VENTILATORIO PULMONAR,"478,72"
DIARIA DE PERMANENCIA A MAIOR,"20,06"
DIARIA DE SAUDE MENTAL COM PERMANENCIA DE ATE SETE DIAS,"0,00"
DIARIA DE SAUDE MENTAL COM PERMANENCIA ENTRE 08 A 15 DIAS,"0,00"
DIARIA DE SAUDE MENTAL COM PERMENENCIA SUPERIOR A 15 DIAS,"0,00"
DIARIA DE UNIDADE DE CUIDADOS INTERMEDIARIOS EM NEONATOLOGIA,"137,20"
DIARIA DE UNIDADE DE CUIDADOS INTERMEDIARIOS NEONATAL CANGURU (UCINCA),"150,00"
DIARIA DE UNIDADE DE CUIDADOS INTERMEDIARIOS NEONATAL CONVENCIONAL (UCINCO),"180,00"
DIARIA DE UNIDADE DE TERAPIA INTENSIVA ADULTO (UTI II),"478,72"
DIARIA DE UNIDADE DE TERAPIA INTENSIVA ADULTO (UTI III),"508,63"
DIARIA DE UNIDADE DE TERAPIA INTENSIVA CORONARIANA- UCO TIPO III,"508,63"
DIARIA DE UNIDADE DE TERAPIA INTENSIVA CORONARIANA-UCO TIPO II,"478,72"
DIARIA DE UNIDADE DE TERAPIA INTENSIVA DE ADULTO (UTI I),"139,00"
DIARIA DE UNIDADE DE TERAPIA INTENSIVA DE PROVAVEL DOADOR DE ORGAOS,"508,63"
DIARIA DE UNIDADE DE TERAPIA INTENSIVA DE QUEIMADOS,"322,22"
DIARIA DE UNIDADE DE TERAPIA INTENSIVA EM PEDIATRIA (UTI I),"139,00"
DIARIA DE UNIDADE DE TERAPIA INTENSIVA EM PEDIATRIA (UTI II),"478,72"
DIARIA DE UNIDADE DE TERAPIA INTENSIVA EM PEDIATRIA (UTI III),"508,63"
DIARIA DE UNIDADE DE TERAPIA INTENSIVA NEONATAL - UTIN (TIPO II),"478,72"
DIARIA DE UNIDADE DE TERAPIA INTENSIVA NEONATAL - UTIN (TIPO III),"508,63"
